term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_dm at w_ge40=0,1.0449283103645206e-6,0.015850425464102112,1.1627620131074177,8867,0.015851574885243514,7.251147912571055e-5,17139401.016652547,1711705243.6424673,8864.026874429479,0.9159965936278468,1.4095274325869884,0.12590303763310684,"3.20 	(2.50, 4.09)",2.4992647625202618,4.094020246304327,W2
h_dm at w_ge40=1,1.94540512254417e-6,0.011623750580102227,0.5812563551672728,8867,0.011625890525737025,1.840672445746194e-4,2665184.050733245,265637562.9365499,8863.073191353104,0.36992632863175545,0.7925863817027902,0.10782342289937295,"1.79 	(1.45, 2.21)",1.447627962002079,2.20910262648182,W2
Interaction of h_dm:w_ge40,1.7152702211202948e-6,0.023298638800659986,-0.5815056579401447,8867,0.02330052559790322,8.09765957984276e-5,13745364.676481595,1372535160.599617,8864.026874429479,-0.880684550482281,-0.2823267653980085,0.15264509686820346,"0.56 	(0.41, 0.75)",0.41449906900275346,0.7540272542569915,W2
w_dm at h_ge40=0,5.178855412089634e-7,0.0240852395274882,1.4819178207850872,8867,0.02408580920158353,2.3651856184778146e-5,160952202.57208997,16088370171.493206,8864.026874429479,1.1777391821121843,1.78609645945799,0.1551960347482613,"4.40 	(3.25, 5.97)",3.247024966251303,5.966117969064493,H2
w_dm at h_ge40=1,5.558175965080507e-6,0.006706977540276783,0.6587135967121223,8867,0.006713091533838371,9.107567699278391e-4,110288.01795229757,10850198.739994528,8849.702878340686,0.49812695206124336,0.8193002413630011,0.08193345796338862,"1.93 	(1.65, 2.27)",1.6456360270291073,2.2689115914200637,H2
Interaction of w_dm:h_ge40,7.386315719232294e-6,0.02895110190111485,-0.8232042240729649,8867,0.028959226848406006,2.8056506251660315e-4,1149121.1756012766,114333982.38365334,8861.826549085443,-1.1567393493186184,-0.4896690988273113,0.1701741074558818,"0.44 	(0.31, 0.61)",0.3145100180925458,0.6128291465203145,H2
h_dm at w_education_2=0,3.8290264338942353e-7,0.023397775856666234,0.9186886392034993,8865,0.023398197049573962,1.8001083879923775e-5,277834329.5859886,27774432771.50619,8862.027113969114,0.6188833516379544,1.2184939267690442,0.15296469216644068,"2.51 	(1.86, 3.38)",1.8568534314139942,3.3820902204251295,W3 E2
h_dm at w_education_2=1,2.5963952179524137e-6,0.04974547421406872,0.5932118900204878,8865,0.04974833024880847,5.7409660293393684e-5,27335135.31018524,2730690977.273835,8862.027113969114,0.1560549820131874,1.030368798027788,0.22304333715403485,"1.81 	(1.17, 2.80)",1.168890469274307,2.8020990527673026,W3 E2
Interaction of h_dm:w_education_2,2.9558750297433005e-6,0.06839843720601034,-0.3254767491830115,8865,0.06840168866854306,4.753482839397986e-5,39864852.654624075,3983076509.0123577,8862.027113969114,-0.8380801733286591,0.18712667496263613,0.2615371649852905,"0.72 	(0.43, 1.21)",0.43254012890080423,1.2057800175146969,W3 E2
w_dm at h_education_2=0,1.1557094014265547e-6,0.07229876256763264,0.38309987856564587,8865,0.0723000338479742,1.7583398982113072e-5,291188548.671297,29109640902.385864,8862.027113969114,-0.1439082834061406,0.9101080405374323,0.268886656135953,"1.47 	(0.87, 2.48)",0.865967167976128,2.4845909554264485,H3 E2
w_dm at h_education_2=1,1.2532997838631495e-5,0.031216552797921397,1.049266459955317,8865,0.03123033909554389,4.414392549603071e-4,465526.7437681258,46184963.96729888,8857.389197179238,0.7028995044299198,1.3956334154807142,0.17672107711176924,"2.86 	(2.02, 4.04)",2.0196000654901685,4.037531197608235,H3 E2
Interaction of w_dm:h_education_2,1.2892748167551886e-5,0.10419561094363615,0.6661665813896711,8865,0.10420979296662046,1.3609107724501222e-4,4871317.309590377,485940622.66834867,8861.632897236463,0.03345999031563429,1.2988731724637077,0.32281541624683985,"1.95 	(1.03, 3.67)",1.0340260718418857,3.6651643317475195,H3 E2
h_dm at w_education_3=0,3.8290264338942353e-7,0.023397775856666234,0.9186886392034993,8865,0.023398197049573962,1.8001083879923775e-5,277834329.5859886,27774432771.50619,8862.027113969114,0.6188833516379544,1.2184939267690442,0.15296469216644068,"2.51 	(1.86, 3.38)",1.8568534314139942,3.3820902204251295,W3 E3
h_dm at w_education_3=1,9.840921941389995e-7,0.015023748465183494,0.7300218821337403,8865,0.015024830966597047,7.204749364298997e-5,17360722.25563845,1733822979.76182,8862.027113969114,0.48977769484369127,0.9702660694237892,0.12257581721774098,"2.08 	(1.63, 2.64)",1.631953387974161,2.6386464290986424,W3 E3
Interaction of h_dm:w_education_3,7.035319650263729e-7,0.03544475804319677,-0.188666757069759,8865,0.0354455319283583,2.183308077004372e-5,188878761.16636717,18880455454.476284,8862.027113969114,-0.5576688590933723,0.18033534495385423,0.18826983807386222,"0.83 	(0.57, 1.20)",0.5725421859077657,1.1976189112480056,W3 E3
w_dm at h_education_3=0,1.1557094014265547e-6,0.07229876256763264,0.38309987856564587,8865,0.0723000338479742,1.7583398982113072e-5,291188548.671297,29109640902.385864,8862.027113969114,-0.1439082834061406,0.9101080405374323,0.268886656135953,"1.47 	(0.87, 2.48)",0.865967167976128,2.4845909554264485,H3 E3
w_dm at h_education_3=1,2.298687975772284e-6,0.010573341782697027,0.5946273892260153,8865,0.010575870339470377,2.390873462123155e-4,1581234.6991413056,157445164.27711293,8860.382990363743,0.3930665521898613,0.7961882262621693,0.10283905065426449,"1.81 	(1.48, 2.22)",1.4815169842479925,2.21707381763616,H3 E3
Interaction of w_dm:h_education_3,2.542322679144224e-6,0.08169794569718444,0.21152751066036946,8865,0.0817007422521315,3.4229247739615084e-5,76862647.44450048,7681531220.816857,8862.027113969114,-0.34869569225130337,0.7717507135720422,0.2858334169619282,"1.24 	(0.71, 2.16)",0.7056078195295188,2.163550697649864,H3 E3
h_dm at w_education_4=0,3.8290264338942353e-7,0.023397775856666234,0.9186886392034993,8865,0.023398197049573962,1.8001083879923775e-5,277834329.5859886,27774432771.50619,8862.027113969114,0.6188833516379544,1.2184939267690442,0.15296469216644068,"2.51 	(1.86, 3.38)",1.8568534314139942,3.3820902204251295,W3 E4
h_dm at w_education_4=1,2.047005153119094e-6,0.047990209556306535,0.9049218070033463,8865,0.04799246126197496,4.691790354613587e-5,40919659.12039911,4088512343.3400145,8862.027113969114,0.4755489343730514,1.3342946796336412,0.2190718175895178,"2.47 	(1.61, 3.80)",1.6088971340660854,3.7973166768689426,W3 E4
Interaction of h_dm:w_education_4,1.8718595639339669e-6,0.06874274389890163,-0.013766832200152916,8865,0.06874480294442195,2.9952017201824526e-5,100374748.2081266,10032065441.072763,8862.027113969114,-0.5276543001456668,0.5001206357453609,0.26219230145910455,"0.99 	(0.59, 1.65)",0.5899872808797563,1.6489201774169002,W3 E4
w_dm at h_education_4=0,1.1557094014265547e-6,0.07229876256763264,0.38309987856564587,8865,0.0723000338479742,1.7583398982113072e-5,291188548.671297,29109640902.385864,8862.027113969114,-0.1439082834061406,0.9101080405374323,0.268886656135953,"1.47 	(0.87, 2.48)",0.865967167976128,2.4845909554264485,H3 E4
w_dm at h_education_4=1,6.99024179621477e-5,0.021248212116313385,1.0250478655689894,8865,0.021325104776071746,0.003605734206972873,7378.948841097441,692237.4477078815,8719.802392206713,0.7388315167791429,1.311264214358836,0.14603117741109858,"2.79 	(2.09, 3.71)",2.0934878793024962,3.7108620731557025,H3 E4
Interaction of w_dm:h_education_4,6.873271144682416e-5,0.0930957120688735,0.6419479870033435,8865,0.093171318051465,8.114727168477336e-4,138680.41682293842,13667675.656135632,8850.074292513315,0.0436889754073152,1.2402069985993718,0.30523977141169695,"1.90 	(1.04, 3.46)",1.0446573902157739,3.456328845948749,H3 E4
h_dm at rural=0,9.810893656030359e-7,0.01945955515985151,0.6096431136034997,8867,0.019460634358153674,5.545545341954251e-5,29294587.84309817,2926536791.664663,8864.026874429479,0.3362254375595592,0.8830607896474401,0.13950137762098866,"1.84 	(1.40, 2.42)",1.3996545239470213,2.4182902679869676,W4
h_dm at rural=1,7.699890135103712e-7,0.011663967039994593,0.9338885536969065,8867,0.011664814027909455,7.261049450380341e-5,17092719.007306963,1707040089.280328,8864.026874429479,0.7222050569315384,1.1455720504622746,0.10800376858197798,"2.54 	(2.06, 3.14)",2.058968351119279,3.1442395061370503,W4
Interaction of h_dm:rural,9.271048450743077e-7,0.02954614772148731,0.3242454400934069,8867,0.029547167536816892,3.451482543330118e-5,75596365.81670152,7554942217.457854,8864.026874429479,-0.012658444415515002,0.6611493246023288,0.17189289553910275,"1.38 	(0.99, 1.94)",0.987421336702241,1.9370173172011687,W4
w_dm at rural=0,6.776006997959156e-7,0.015494808761580988,0.6681300203518857,8867,0.015495554122350763,4.810158861633738e-5,38931363.39367727,3889767738.231692,8864.026874429479,0.4241514698563714,0.9121085708473999,0.12448113962504827,"1.95 	(1.53, 2.49)",1.5282930665843277,2.4895664300752,H4
w_dm at rural=1,9.299727326238196e-6,0.008915599797045728,0.7914519345896577,8867,0.00892582949710459,0.0011460783630451805,69940.25814413792,6851945.223437447,8843.412256544907,0.606281152425256,0.9766227167540593,0.09447660820067891,"2.21 	(1.83, 2.66)",1.8335998256007613,2.6554727968620595,H4
Interaction of w_dm:rural,1.104620499541169e-5,0.023570909130857534,0.12332191423777195,8867,0.023583059956352487,5.152353221948976e-4,342176.11555266456,33902463.11812483,8858.118039438226,-0.17766539472542076,0.4243092232009646,0.153567769913978,"1.13 	(0.84, 1.53)",0.8372225156957381,1.5285341789447404,H4
h_dm at hh_low=0,6.497985364530284e-7,0.060311043682540984,0.5709040647375023,8864,0.060311758460931085,1.18513936310007e-5,640908902.9293871,64077220285.4518,8861.027233735625,0.08956724239781277,1.052240887077192,0.24558452406642217,"1.77 	(1.09, 2.86)",1.0937008739090517,2.864061971841733,W5 Low
h_dm at hh_low=1,2.3047604322333927e-6,0.0342960562446229,0.7704395015406514,8864,0.03429859148109835,7.391663523132951e-5,16494371.341733005,1647244746.9695265,8861.027233735625,0.40745654467342574,1.1334224584078771,0.1851987890918792,"2.16 	(1.50, 3.11)",1.50299013118799,3.106269406497512,W5 Low
Interaction of h_dm:hh_low,2.5341758378475426e-6,0.09011484590686897,0.19953543680314917,8864,0.0901176335002906,3.093282982872945e-5,94111995.53738892,9405961670.527748,8861.027233735625,-0.3888378955283441,0.7879087691346425,0.30019599181250006,"1.22 	(0.68, 2.20)",0.6778441426749191,2.198793430281862,W5 Low
w_dm at hh_low=0,3.3287684508756448e-6,0.05596718184691593,0.5101638160888089,8864,0.055970843492211896,6.542058449543845e-5,21053530.381403703,2102876024.324979,8861.027233735625,0.04647244170024373,0.973855190477374,0.23658157893676315,"1.67 	(1.05, 2.65)",1.0475692094444475,2.6481338661457166,H5 Low
w_dm at hh_low=1,7.732954433810022e-6,0.029225637274912036,0.7295911602626068,8864,0.029234143524789227,2.9096969678547657e-4,1068608.4671356727,106303358.70467487,8858.683811958488,0.3944766110916345,1.064705709433579,0.17097995065149957,"2.07 	(1.48, 2.90)",1.4836074839772633,2.8999854201159874,H5 Low
Interaction of w_dm:hh_low,8.702720618326073e-6,0.08343307507191998,0.21942734417379783,8864,0.08344264806460014,1.1472541802301628e-4,6852035.308804674,683790734.6786941,8860.869155301907,-0.3467364992183799,0.7855911875659755,0.2888644112115581,"1.25 	(0.71, 2.19)",0.7069915965540418,2.193703447657761,H5 Low
h_dm at hh_medium=0,6.497985364530284e-7,0.060311043682540984,0.5709040647375023,8864,0.060311758460931085,1.18513936310007e-5,640908902.9293871,64077220285.4518,8861.027233735625,0.08956724239781277,1.052240887077192,0.24558452406642217,"1.77 	(1.09, 2.86)",1.0937008739090517,2.864061971841733,W5 Medium
h_dm at hh_medium=1,2.1311559226969504e-7,0.038759296987962655,0.7103910259370961,8864,0.03875953141511415,6.048245242852715e-6,2460543254.7905264,246027540121.8678,8861.027233735625,0.32452428230397834,1.0962577695702138,0.19687440518034371,"2.03 	(1.38, 2.99)",1.3833723946939287,2.9929447518239813,W5 Medium
Interaction of h_dm:hh_medium,6.834288177522239e-7,0.10008488945160235,0.13948696119959386,8864,0.10008564122330188,7.511284239566018e-6,1595411917.993736,159519623520.16064,8861.027233735625,-0.4805734143348495,0.7595473367340371,0.3163631477010271,"1.15 	(0.62, 2.14)",0.6184286742488979,2.137308520436976,W5 Medium
w_dm at hh_medium=0,3.3287684508756448e-6,0.05596718184691593,0.5101638160888089,8864,0.055970843492211896,6.542058449543845e-5,21053530.381403703,2102876024.324979,8861.027233735625,0.04647244170024373,0.973855190477374,0.23658157893676315,"1.67 	(1.05, 2.65)",1.0475692094444475,2.6481338661457166,H5 Medium
w_dm at hh_medium=1,5.599124506238477e-7,0.031900096784828025,0.7698204167353704,8864,0.03190071268852371,1.9306894541820193e-5,241528606.3067153,24144469116.729424,8861.027233735625,0.4197557453444333,1.1198850881263074,0.17860770612860943,"2.16 	(1.52, 3.06)",1.5215898548197537,3.0645020353884314,H5 Medium
Interaction of w_dm:hh_medium,1.805808418781994e-6,0.08990173945843988,0.2596566006465614,8864,0.08990372584770054,2.209462669016847e-5,184434378.38728666,18436105010.287846,8861.027233735625,-0.3280180208203376,0.8473312221134602,0.29983950014582894,"1.30 	(0.72, 2.33)",0.7203500382897136,2.3334111786597855,H5 Medium
h_dm at hh_high=0,6.497985364530284e-7,0.060311043682540984,0.5709040647375023,8864,0.060311758460931085,1.18513936310007e-5,640908902.9293871,64077220285.4518,8861.027233735625,0.08956724239781277,1.052240887077192,0.24558452406642217,"1.77 	(1.09, 2.86)",1.0937008739090517,2.864061971841733,W5 High
h_dm at hh_high=1,2.0100567866380443e-6,0.027584952062337756,0.9750703565216552,8864,0.027587163124803058,8.014823616691226e-5,14030750.050542636,1401053021.3423991,8861.027233735625,0.6495324150973026,1.3006082979460076,0.16609383831076655,"2.65 	(1.91, 3.67)",1.9146453604118634,3.671529372251424,W5 High
Interaction of h_dm:hh_high,2.137853897755514e-6,0.08159317788781173,0.40416629178415286,8864,0.08159552952709927,2.8820687863175712e-5,108407441.88498177,10835122497.196058,8861.027233735625,-0.15569607228500992,0.9640286558533157,0.2856493121418276,"1.50 	(0.86, 2.62)",0.855819258039671,2.622239322203323,W5 High
w_dm at hh_high=0,3.3287684508756448e-6,0.05596718184691593,0.5101638160888089,8864,0.055970843492211896,6.542058449543845e-5,21053530.381403703,2102876024.324979,8861.027233735625,0.04647244170024373,0.973855190477374,0.23658157893676315,"1.67 	(1.05, 2.65)",1.0475692094444475,2.6481338661457166,H5 High
w_dm at hh_high=1,4.454223811943252e-5,0.022654524579705678,0.8749192326203613,8864,0.022703521041637052,0.0021580996992281005,20082.060408788082,1932411.0001125059,8802.594182828396,0.5795977968592396,1.170240668381483,0.15067687626718657,"2.40 	(1.79, 3.22)",1.7853202249257079,3.2227681636004033,H5 High
Interaction of w_dm:hh_high,5.6656833553561286e-5,0.07449934080974951,0.36475541653155236,8864,0.07456166332665844,8.358520200371511e-4,130765.55724749874,12882012.513482187,8848.511233727068,-0.1704320395019558,0.8999428725650604,0.2730598163894835,"1.44 	(0.84, 2.46)",0.8433003987963147,2.459462604353675,H5 High
h_dm at hh_highest=0,6.497985364530284e-7,0.060311043682540984,0.5709040647375023,8864,0.060311758460931085,1.18513936310007e-5,640908902.9293871,64077220285.4518,8861.027233735625,0.08956724239781277,1.052240887077192,0.24558452406642217,"1.77 	(1.09, 2.86)",1.0937008739090517,2.864061971841733,W5 Highest
h_dm at hh_highest=1,7.035001487453797e-7,0.018569990295887975,0.7375578763875603,8864,0.018570764146051594,4.16703457937378e-5,51869730.22416593,5183084636.692986,8861.027233735625,0.47046458600160085,1.0046511667735198,0.1362745909773777,"2.09 	(1.60, 2.73)",1.6007377008204107,2.7309544589937262,W5 Highest
Interaction of h_dm:hh_highest,1.4490234861167085e-6,0.0751744676805715,0.16665381165005805,8864,0.07517606160640622,2.1202571678649248e-5,200277038.26055685,20020062514.46714,8861.027233735625,-0.3707340789819254,0.7040417022820415,0.27418253337221576,"1.18 	(0.69, 2.02)",0.6902274631462868,2.0219081662500495,W5 Highest
w_dm at hh_highest=0,3.3287684508756448e-6,0.05596718184691593,0.5101638160888089,8864,0.055970843492211896,6.542058449543845e-5,21053530.381403703,2102876024.324979,8861.027233735625,0.04647244170024373,0.973855190477374,0.23658157893676315,"1.67 	(1.05, 2.65)",1.0475692094444475,2.6481338661457166,H5 Highest
w_dm at hh_highest=1,1.0133807239215729e-7,0.013555467928209488,0.6717162833215663,8864,0.01355557940008912,8.223320917631906e-6,1331104994.8851116,133090798689.23265,8861.027233735625,0.44352075300372884,0.8999118136394036,0.11642843037715968,"1.96 	(1.56, 2.46)",1.558183551866461,2.459386217273747,H5 Highest
Interaction of w_dm:hh_highest,2.805377475785052e-6,0.0676809356592057,0.16155246723275737,8864,0.06768402157442907,4.5592964950673266e-5,43331445.693077244,4329590660.553451,8861.027233735625,-0.3483547614299811,0.6714596958954958,0.260161529774156,"1.18 	(0.71, 1.96)",0.705848423995371,1.957091995803635,H5 Highest
h_dm at both_general=0,1.2483245397605339e-6,0.047793471182380795,0.567484091046036,8862,0.04779484433937453,2.8730232574590643e-5,109090966.62452438,10903457273.912199,8859.027473262036,0.1389961374091161,0.995972044682956,0.21862032005139534,"1.76 	(1.15, 2.71)",1.1491196614159043,2.7073547324159986,W6 General
h_dm at both_general=1,9.944737511425725e-7,0.039144489969710275,0.6617709414082148,8862,0.039145583890836534,2.7944943401723087e-5,115306679.87142006,11524870144.95157,8859.027473262036,0.2739873051363094,1.0495545776801203,0.19785242958032265,"1.94 	(1.32, 2.86)",1.3151981058720654,2.8563785399111454,W6 General
Interaction of h_dm:both_general,2.027661080062813e-6,0.0829062810003455,0.09428685036217874,8862,0.08290851142753357,2.6902270341913034e-5,124415623.94323125,12435539868.725996,8859.027473262036,-0.47006200681387356,0.6586357075382311,0.2879383813032461,"1.10 	(0.62, 1.93)",0.6249635150848745,1.932154511595151,W6 General
w_dm at both_general=0,1.0153785526989377e-4,0.045953394740555036,0.6178553140531846,8862,0.04606508638135192,0.002424648460924154,15984.36197331384,1530893.3879850784,8787.782570666503,0.19719225147225755,1.0385183766341117,0.21462778566940469,"1.85 	(1.22, 2.83)",1.2179781762963018,2.8250282841424643,H6 General
w_dm at both_general=1,3.4645201778441207e-6,0.030698160016139325,0.5781709930183341,8862,0.030701970988334954,1.2412793292901263e-4,5854276.987957838,584121864.6822343,8858.766549547105,0.23474653588896016,0.9215954501477079,0.17521977910137587,"1.78 	(1.26, 2.51)",1.2645882003842803,2.5132970330093087,H6 General
Interaction of w_dm:both_general,1.0931878281255875e-4,0.07309233215791089,-0.039684321034850464,8862,0.07321258281900471,0.0016424862566465784,34354.59659558866,3336099.6972939204,8822.057144990587,-0.5700081147030773,0.49063947263337643,0.2705782378887938,"0.96 	(0.57, 1.63)",0.5655208496471388,1.6333603753258674,H6 General
h_dm at both_obc=0,1.2483245397605339e-6,0.047793471182380795,0.567484091046036,8862,0.04779484433937453,2.8730232574590643e-5,109090966.62452438,10903457273.912199,8859.027473262036,0.1389961374091161,0.995972044682956,0.21862032005139534,"1.76 	(1.15, 2.71)",1.1491196614159043,2.7073547324159986,W6 OBC
h_dm at both_obc=1,1.2482968955927916e-6,0.016136452260930835,0.9368977551252861,8862,0.016137825387515986,8.50874608058595e-5,12450198.682223996,1243115215.9125988,8859.027473262036,0.6879142379953083,1.1858812722552639,0.12703474086845687,"2.55 	(1.99, 3.27)",1.989561450855279,3.2735704574649382,W6 OBC
Interaction of h_dm:both_obc,1.5666608380520428e-6,0.058837522249619426,0.36941366407925,8862,0.058839245576541285,2.928873246030067e-5,104971229.54089086,10491591087.808914,8859.027473262036,-0.10601092402610235,0.8448382521846023,0.24256802257622764,"1.45 	(0.90, 2.33)",0.8994148227912573,2.3276012996954836,W6 OBC
w_dm at both_obc=0,1.0153785526989377e-4,0.045953394740555036,0.6178553140531846,8862,0.04606508638135192,0.002424648460924154,15984.36197331384,1530893.3879850784,8787.782570666503,0.19719225147225755,1.0385183766341117,0.21462778566940469,"1.85 	(1.22, 2.83)",1.2179781762963018,2.8250282841424643,H6 OBC
w_dm at both_obc=1,3.545136607457038e-7,0.011510247124297454,0.888143405739275,8862,0.011510637089324274,3.387866577619353e-5,78461157.70813026,7841333271.448447,8859.027473262036,0.6778635008690181,1.0984233106095318,0.10728763716908055,"2.43 	(1.97, 3.00)",1.9696650459735818,2.999433119389952,H6 OBC
Interaction of w_dm:both_obc,1.0483601898306054e-4,0.054989692048626575,0.27028809168609036,8862,0.055105011669507944,0.00209272473387712,21331.70649863899,2055030.6089479404,8803.583046477775,-0.1898030759055797,0.7303792592777605,0.23474456685833636,"1.31 	(0.83, 2.08)",0.8271219981573543,2.075867750502859,H6 OBC
h_dm at both_scst=0,1.2483245397605339e-6,0.047793471182380795,0.567484091046036,8862,0.04779484433937453,2.8730232574590643e-5,109090966.62452438,10903457273.912199,8859.027473262036,0.1389961374091161,0.995972044682956,0.21862032005139534,"1.76 	(1.15, 2.71)",1.1491196614159043,2.7073547324159986,W6 SCST
h_dm at both_scst=1,8.878311787972083e-8,0.0367704324655328,0.73739252080694,8862,0.036770530126962464,2.655970129625121e-6,12759007680.05127,1275839772614.2544,8859.027473262036,0.3615568156137172,1.1132282260001627,0.19175643438216738,"2.09 	(1.44, 3.04)",1.4355625820364861,3.044169817322872,W6 SCST
Interaction of h_dm:both_scst,8.966140684248136e-7,0.0811033240089988,0.16990842976090384,8862,0.08110431028447407,1.2160580267656864e-5,608735976.8898122,60860275227.264984,8859.027473262036,-0.3882661559656396,0.7280830154874472,0.2847881849453626,"1.19 	(0.68, 2.07)",0.6782318037986744,2.0711065206355728,W6 SCST
w_dm at both_scst=0,1.0153785526989377e-4,0.045953394740555036,0.6178553140531846,8862,0.04606508638135192,0.002424648460924154,15984.36197331384,1530893.3879850784,8787.782570666503,0.19719225147225755,1.0385183766341117,0.21462778566940469,"1.85 	(1.22, 2.83)",1.2179781762963018,2.8250282841424643,H6 SCST
w_dm at both_scst=1,3.0191913471319083e-6,0.02882261811589763,0.641806097004237,8862,0.028825939226379476,1.1521256795011392e-4,6794272.805979982,678020454.9986222,8858.864143932187,0.3090394236408735,0.9745727703676004,0.16978203446295334,"1.90 	(1.36, 2.65)",1.3621160690196525,2.650034795707534,H6 SCST
Interaction of w_dm:both_scst,1.3070080693551746e-4,0.07170603552727524,0.023950782951052425,8862,0.07184980641490431,0.0020009919970952884,23294.585100712935,2247769.666036351,8807.624470570358,-0.5014142043331,0.5493157702352048,0.2680481419724903,"1.02 	(0.61, 1.73)",0.6056735076624383,1.7320674801989822,H6 SCST
